Arthropod Taxa	Arthropod Species Scientific Name	Common Name	Tree Host(s)*	Endangered Risk Rating	Reference(s)	referenceCitation
Acari	Aceria chrondriphora Keifer	Ashleaf Gall Mite	Fraxinus	High	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Acari	Aceria chrondriphora Keifer	Ashleaf Gall Mite	Fraxinus	High	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus americana	High	Felt (1918)	Felt EP (1918) Key to American insect galls. The University of the State of New York Bulletin, No. 200, Albany
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus americana	High	Ives and Wong (1988)	Ives WGH, Wong HR (1988) Tree and shrub insects of the Prairie Provinces. Canadian Forest Service, Northern Forestry Center, Information Report NOR-X-292
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus americana	High	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus americana	High	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus americana	High	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus pennsylvanica	High	Felt (1918)	Felt EP (1918) Key to American insect galls. The University of the State of New York Bulletin, No. 200, Albany
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus pennsylvanica	High	Ives and Wong (1988)	Ives WGH, Wong HR (1988) Tree and shrub insects of the Prairie Provinces. Canadian Forest Service, Northern Forestry Center, Information Report NOR-X-292
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus pennsylvanica	High	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus pennsylvanica	High	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus pennsylvanica	High	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Acari	Eriophyes fraxini Garm.		Fraxinus pennsylvanica	High	Felt (1918)	Felt EP (1918) Key to American insect galls. The University of the State of New York Bulletin, No. 200, Albany
Acari	Oligonychus newcomeri (McGregor)		Amelanchier	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Oligonychus newcomeri (McGregor)		Carpinus	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Oligonychus newcomeri (McGregor)		Crataegus	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Oligonychus newcomeri (McGregor)		Fraxinus	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Oligonychus newcomeri (McGregor)		Malus	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Oligonychus newcomeri (McGregor)		Prunus avium	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Oligonychus newcomeri (McGregor)		Pyrus	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Oligonychus newcomeri (McGregor)		Sorbus	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Platytetranychus thujae (McGregor)	Arborvitae Spider Mite	Carya	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Acari	Platytetranychus thujae (McGregor)	Arborvitae Spider Mite	Cupressaceous Conifers	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Acari	Platytetranychus thujae (McGregor)	Arborvitae Spider Mite	Fraxinus	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Acari	Platytetranychus thujae (McGregor)	Arborvitae Spider Mite	Juniperus	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Acari	Tetranychus homorus Pritchard & Baker		Carya	High-Moderate	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Tetranychus homorus Pritchard & Baker		Fraxinus	High-Moderate	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Tetranychus urticae Koch		Acer	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Tetranychus urticae Koch		Cercis	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
